Date,Notes
27/02/2025,"Test notes
"
Date,Notes,Time
27/02/2025,"Test notes
",12:00
Date,Notes,Time,Technician
27/02/2025,"Test notes
",12:00,Roberto Gianotto
Date,Notes,Time,Technician,Lab
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A
Date,Notes,Time,Technician,Lab,Plot
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5
Date,Notes,Time,Technician,Lab,Plot,Seed Sample
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light,Temperature
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,,
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light,Temperature,Equipment Fault
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,,,1.0
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light,Temperature,Equipment Fault,Plants
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,,,1.0,1
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light,Temperature,Equipment Fault,Plants,Blossoms
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,,,1.0,1,3
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light,Temperature,Equipment Fault,Plants,Blossoms,Fruit
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,,,1.0,1,3,4
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light,Temperature,Equipment Fault,Plants,Blossoms,Fruit,Min Height
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,,,1.0,1,3,4,0.06
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light,Temperature,Equipment Fault,Plants,Blossoms,Fruit,Min Height,Max Height
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,,,1.0,1,3,4,0.06,0.05
Date,Notes,Time,Technician,Lab,Plot,Seed Sample,Humidity,Light,Temperature,Equipment Fault,Plants,Blossoms,Fruit,Min Height,Max Height,Med Height
27/02/2025,"Test notes
",12:00,Roberto Gianotto,A,5,Test Sample,,,,1.0,1,3,4,0.06,0.05,0.05
